,Name,Company,City,Ratings,Summary,Date
27,Backend Software Engineer,Skycart Inc.,"San Francisco Bay Area, CA",NaN,"Skills: C/C++, Javascript, JSON, Rest, STOMP, MySQL, no SQL, Python, distributed systems, client/server, network security, cloud.",30+ days ago
28,Software Engineer - Unity,Glu Mobile,"San Francisco, CA",3.3,"We are looking for an experienced Unity developer to help build an unannounced mobile title.
Design and implement new systems and pipelines.",7 days ago
29,"Software Engineer, Frontend",Flockjay,"San Francisco, CA",4.9,"Design, test, and ship great code everyday.
3+ years of relevant software engineering experience building web applications, bonus points if at a high-growth…",30+ days ago
30,SOFTWARE ENGINEER,Smule,"San Francisco, CA 94107 (South Beach area)",3.9,"Develop and direct software system testing and validation procedures, programming, and documentation.
Confer with systems analysts, engineers, programmers and…",30+ days ago
31,Software Engineer (Remote),GapJumpers,"San Francisco, CA",NaN,"Experience with version control (git/subversion).
This is a paid position and is open to applicants from any part of the world.
At least basic front-end skills.",30+ days ago
32,"Software Engineer, Shopping Discovery",Pinterest,"San Francisco, CA 94103 (South of Market area)",4.2,"Train deep learning models to improve quality and engagement of shopping recommenders.
Work on backend and infrastructure to build, deploy and serve machine…",17 days ago
33,Software Engineer - Internship,"Sylabs, Inc.","Albany, CA",NaN,"We are a full-remote company looking for self-sufficient interns with drive, enthusiasm, initiative, and ability to take ownership of your work.",30+ days ago
34,"Software Engineer, Frontend",Instabase,"San Francisco, CA 94104 (Financial District area)",NaN,"Instabase engineers are excited to solve hard problems for complex organizations and are self-starters from day one.
Openness to coding in Python.",30+ days ago
35,Software Engineer Intern,PayPal,"San Francisco, CA 94107 (South Beach area)",3.9,"Code high-volume and scalable software.
We have opportunities in a wide range of areas including development, design, search, platform, test, quality, big data,…",30+ days ago
36,Software Engineer (Distributed Systems),Anyscale,"San Francisco, CA",NaN,"We’re commercializing a popular open source project called Ray, which is a framework for distributed computing as well as an ecosystem of libraries for scalable…",18 days ago
37,Backend Software Engineer (Python/Django),ixlayer,"San Francisco, CA",NaN,"Experience with AWS / Cloud Hosting is a big plus.
Work on designing and implementing REST APIs into the platform.
We’re looking for someone with:",30+ days ago
38,Software Engineer,Dropbox,"San Francisco, CA (Central Waterfront - Dogpatch area)",3.9,"Software engineers work at all levels of the stack to deliver software - everything from syncing exabytes of data, to staying in flow with Dropbox Paper, to…",30+ days ago
39,"Frontend Software Engineer Intern, 2021 Summer",Atlassian,"San Francisco, CA",4.6,"A real passion for frontend software engineering, as demonstrated by previous internships, work experience, projects, or publications.",5 days ago
40,Software Engineer,NoshList,"San Francisco, CA",NaN,"Discipline to build things the right way, and test them.
A solid foundation in computer science, with strong competencies in data structures, algorithms, and…",30+ days ago
41,Software Engineer Intern,Anyscale,"San Francisco, CA",NaN,"We’re commercializing a popular open source project called Ray, which is a framework for distributed computing as well as an ecosystem of libraries for scalable…",30+ days ago
42,Software Engineer Intern,Fivestars,"San Francisco, CA",4.1,"We'll provide you with all the mentorship, support, engagement, and real-time feedback that you need to accelerate your learning and make an impact on the…",30+ days ago
43,Software Engineer - Backend,Adobe,"San Francisco, CA",4.3,"Experience in a cloud-native stack: containerized compute (e.g. Kubernetes), infrastructure-as-code, CI/CD and cloud services (AWS, Azure).",9 days ago
44,Software Engineer - Realtime Compute Team,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"To handle this scale, engineers on Real-time Compute team build world-class distributed stream processing systems and related infrastructure that fuel critical…",30+ days ago
45,Staff Software Engineer - Backend (Tweet Services),Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"At least 4 years of software development experience.
Proven experience with software engineering best practices for iterative development, testing, code reuse,…",30+ days ago
46,Staff Software Engineer - Misleading Information,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,We’re looking for an engineer who has backend experience and ideally ability and interest to work full stack to help accelerate all aspects of the project —…,30+ days ago
47,"Software Engineer, Full Stack",Disney Streaming Services,"San Francisco, CA",3.3,"Your responsibilities will include the development of both server-side and client-side Typescript and Javascript.
Working knowledge of Node.js frameworks.",17 days ago
48,"Creative Software Engineer, Global Communications",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Square made credit card payments possible for all by turning a mobile phone into a credit card reader.
Participate in concept development iteration.",2 days ago
49,Software Engineer,Swiftly,"San Francisco, CA",NaN,Our front-end software is primarily written in JavaScript with server-side code in Node.js and client-side code using the Vue.js framework.,10 days ago
50,Associate Software Engineer,Jam City,"San Francisco, CA",2.9,"Familiar with object-oriented design and implementation.
Unlimited Vacation, Paid Sick Days & Holidays*.
100% Employee Covered Medical, Dental, Vision Plan Base…",30+ days ago
51,"Software Engineer, Infrastructure",Lightstep,"San Francisco, CA 94105 (South Beach area)",NaN,You come from a software engineering or product background but have always been curious to optimize the developer experience.,9 days ago
52,Software Engineer CICD Automation,Splunk,"San Francisco, CA",4.1,"You will be working on services and tooling to empower Splunk engineers to build, test, and deliver products to the cloud.
Keeping calm and carrying on.",3 days ago
53,Software Engineer Associate,"Digital Foundry, Inc.","Tiburon, CA 94920",NaN,"Build software solutions where the problem is often ill defined.
Working knowledge of object-oriented design.
Work on a variety of projects ranging in both size…",19 days ago
54,Software Engineer Summer Intern - Undergrad,Proofpoint,"San Francisco, CA 94102 (Downtown area)",3.9,"Familiarity with programming in python, Golang, C, or similar systems programming languages.
You’ll get to gain experience in testing software through building…",30+ days ago
55,"Staff Software Engineer, Lantern",SoFi,"San Francisco, CA",3.2,"Bachelor’s Degree, ideally in a technical field, but we understand great engineers come from all sorts of different backgrounds and also consider relevant work…",1 day ago
56,Software Engineer,"JPMorgan Chase Bank, N.A.","Redwood City, CA 94063 (Downtown area)",3.9,Design and develop or modify custom applications software to meet functional requirements for new and enhanced proprietary software for payment processing…,10 days ago
57,Software Engineer,Roam Robotics,"San Francisco, CA 94107 (South of Market area)",NaN,"Strong object-oriented design, design patterns and believer in software development best practice.
Experience developing and deploying software development…",30+ days ago
58,Software Engineer,Pendulum.co,"San Francisco, CA",NaN,"We would like to have you in the office for this full-time role, but we are open to remote work and contract-to-hire for the right candidate.",17 days ago
59,Software Engineer - Linux,Joyent,"San Francisco, CA 94111 (Financial District area)",4.5,"Experience with at least one statically typed, server-oriented programming language (e.g. Go, Rust, C, C++, Java).
A graduate degree is a plus.",30+ days ago
60,Software Engineering Intern,Pinterest,"San Francisco, CA 94103 (South of Market area)",4.2,"Dive into the code base on your very first day.
2+ years of CS classes under your belt (Intro to CS and Algorithms, Advanced Algorithms, Operating Systems and…",30+ days ago
61,Software Engineer — Back-end,0x,"San Francisco, CA",NaN,"Ability to write very high-quality, well-tested code.
Create and improve the suite of tools that enable the entire 0x ecosystem to interact with the 0x protocol…",30+ days ago
62,Software Engineer - MoPub Android SDK,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"BS/MS Computer Science or similar work experience.
From individual developers to the largest names in mobile apps and games, MoPub’s customers span the globe…",17 days ago
63,"Software Development Engineer Intern, Summer 2021",MasterCard,"San Francisco, CA",4.1,"Experience with object-oriented development and design patterns.
Mastercard’s software engineering teams leverage Agile development principles, advanced…",30+ days ago
64,Site Reliability Engineer - QA,Blue Owl,"San Francisco, CA",NaN,"Benefits: Medical, dental, vision, 401(k), wellness reimbursement, four weeks of vacation + six weeks of parental leave, and great work-life balance.",3 days ago
65,"Software Engineer, Core Infrastructure",Panther Labs,"San Francisco, CA",NaN,"Developer tools and the release cycle.
As a Software Engineer, Core Infrastructure at Panther, you will make a huge impact on the engineering teams by…",30+ days ago
66,Software Engineer (Reinforcement Learning),Anyscale,"San Francisco, CA",NaN,"We’re commercializing a popular open source project called Ray, which is a framework for distributed computing as well as an ecosystem of libraries for scalable…",25 days ago
67,Frontend Software Engineer,Forethought,"San Francisco, CA",2.7,"You will build features ranging from beautiful search tools for workers, to integrated Zendesk, Slack, or Chrome apps.
Medical, dental and vision coverage.",30+ days ago
68,Software Engineer,OODA Health,"San Francisco, CA",NaN,"We offer all employees competitive, data-driven compensation, stock options and generous benefits.
Understanding of software development best practices,…",11 days ago
69,Front End Engineer,Scoop Technologies,"San Francisco, CA",4.0,"Product development experience, working with UX, product, analytics.
Scoop brings co-workers and neighbors together to enjoy a smooth carpooling experience…",19 days ago
70,"Software Engineer, Fullstack - Home Buying Journey",Blend Labs,"San Francisco, CA 94103 (South of Market area)",NaN,"Excellent coding, problem-solving and debugging skills in a service-oriented platform.
Design and implement software and tools to empower Blend subsidiary…",4 days ago
71,Software Generalist – Fullstack,Burstorm,"San Carlos, CA",NaN,We have several roles and focus areas available.,30+ days ago
72,Software Engineer - Compute Platform,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"Experience in developing software in one or more languages such as Java, C++, Go, Python or similar.
We’re looking for candidates who share a passion in…",30+ days ago
73,Frontend Software Engineer,"Take-Two Interactive Software, Inc.","San Francisco, CA",4.1,"2+ years professional experience in software engineering.
Experience with server side rendering.
Take-Two develops and publishes some of the world's biggest…",30+ days ago
74,Software Engineer,Memphis Meats,"Berkeley, CA",NaN,"Experience with best practices for team-oriented software engineering, including modern CI/CD tools and Agile methodologies.",4 days ago
75,"Software Engineer, Deploy",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Write software to integrate deployment orchestration with internal platform components.
5+ years of experience developing scalable production services.",30+ days ago
76,Full-Stack Software Engineer,walrus.ai,"San Francisco, CA",NaN,"You have experience building and maintaining software used by consumers or businesses.
“Stock is the backbone of good cooking, just roast some bones, roast some…",30+ days ago
77,Android Engineer,Mercury,"San Francisco, CA",3.7,"Mercury is building a bank for startups. We've already built a great web app, and love for our iOS app abounds: But demand for an Android app has grown too…",1 day ago
78,"Software Engineer, Videos",Apple,"San Francisco, CA",4.2,"Developed services that handle very large volume of requests and deployed them to a cloud infrastructure.
Our group also integrates at the OS level to support…",22 days ago
79,Software Engineer,Arista Networks,"San Francisco, CA",4.1,"Hack on our engineering tools, including p4, django, python, rpm, ...
A strong background in Linux, C++, TCP/IP, python, hardware, drivers, compilers, or…",30+ days ago
80,Software Engineer,Carta,"San Francisco, CA",3.8,"You’ll help deliver a reliable and scalable reporting solution that will enable our largest and most valuable customers to grow on the Carta platform, providing…",30+ days ago
81,"Software Engineer II - Full Stack (San Francisco, CA)",Earnest,"San Francisco, CA 94110 (Mission area)",3.8,"On the client-side we use React/Redux for building new things and Angular for everything else.
Experience with server-side concepts, e.g. microservices,…",3 days ago
82,iOS Mobile Engineer Internship,Epic Games,"San Francisco, CA",3.7,"Actively seek elegant, production-oriented solutions to difficult problems.
Define and solve challenges across the iOS platform, from ideation to production.",3 days ago
83,"Software Engineer, Backend - University Graduate, 2021",Verkada,"San Mateo, CA 94401 (Central Business District area)",NaN,"Work with computer vision engineers to experiment with machine learning and AI data models and applications.
Define and improve service-oriented architectures.",30+ days ago
84,Staff Front End Engineer (San Francisco or Remote),Eventbrite,"San Francisco, CA 94107 (South of Market area)",4.2,"Our technology spans across web, mobile, APIs, big data and machine learning, search, as well as physical point of sale and ticket scanning systems.",6 days ago
85,MTS Software Engineer,Salesforce,"San Francisco, CA",4.3,"Work closely with a team of engineers, product managers, user experience experts and performance engineers to build new features our customers will love, adopt…",30+ days ago
86,Software Engineer,Change Research,"San Francisco, CA",4.5,"Software engineers at Change Research build the tools to conduct rapid, accurate surveys for campaigns across the country.",25 days ago
87,Software Engineer,Wells Fargo,"San Leandro, CA",3.7,The engineer participates in the growth of a framework that has to deliver 20+ million daily user sessions to very large set of devices used by our diverse…,1 day ago
88,"Software Engineer, Opensource Graphics (1 Year Residency)",Disney,"Emeryville, CA",4.1,Our Engineering Team is looking for a software engineer to help build and maintain the studio's specialized animation software.,18 days ago
89,Intermediate Systems/Software Engineer,Cisco Systems,"San Francisco Bay Area, CA",4.1,"Experience with Agile software development methodologies,Scrum, Kanban.
Collaborate with software and infrastructure engineering teams to design solutions to…",23 days ago
90,"Software Engineer, Square Capital",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"4+ years of software engineering experience.
Collaborate closely with peer engineers, platform teams, product managers, and designers to develop and deploy…",8 days ago
91,Staff Software Engineer,Carta,"San Francisco, CA",3.8,The Valuations Engineering team creates tools for financial equity analysis that are unparalleled in industry.,30+ days ago
92,"AMTS Software Engineer, Mulesoft",Salesforce,"San Francisco, CA",4.3,"Work closely with a team of engineers, product managers, user experience experts and performance engineers to build new features our customers will love, adopt…",26 days ago
93,Software Engineer - Automation,Blend Labs,"San Francisco, CA 94103 (South of Market area)",NaN,"Work closely with customer-facing teams to understand customer use cases and share that knowledge with other engineers.
Experience with Github and Postman.",7 days ago
94,Front End Engineer,ForUsAll,"San Francisco, CA",NaN,"Help build frontend systems underlying the ForUsAll participant experience.
Build and maintain frontend architecture using React and Redux.",30+ days ago
95,Software Engineer (Full Stack),Drivetime,"San Francisco, CA",NaN,"2+ years in software development (mobile or game development experience is ideal).
Proven problem-solving abilities and discerning application of software…",30+ days ago
96,Full-Stack Engineer,Codify AI,"San Francisco, CA",NaN,"Experience with Python, Ruby, PHP, JS, React, or similar.
Familiar with AWS or other cloud infrastructure providers.
Good understanding of relational DBs.",5 days ago
97,Software Engineer II,Sutter Health,"San Carlos, CA",3.9,"6+ years of experience as a software engineer.
You will work with a diverse team that includes business leaders, software engineers, data scientists, designers,…",23 days ago
98,Frontend Engineer,Mercury,"San Francisco, CA",3.7,"You should also have a year of engineering experience or a computer science education.
Experience with the frontend specifically is not required.",30+ days ago
99,Research Associate - Safety Net,Public Policy Institute of California,"San Francisco, CA 94111 (Financial District area)",4.0,"Improving mobility: We examine safety net programs from long-term and two-generation perspectives.
Reducing poverty: We assess the impact of state programs on…",4 days ago
100,Junior Mobile Engineer,Zumper,"San Francisco Bay Area, CA",3.0,"This candidate is excited about learning and collaborating with a tight knit team of passionate engineers, designers and product managers.",4 days ago
101,Summer 2021 Intern - Software Engineer (Quip),Salesforce,"San Francisco, CA",4.3,"Working side by side with our team of experienced engineers, shipping high-value projects, and seeing the impact of your work on our customers.",16 days ago
102,"Software Engineer, C",Rylo,"San Francisco, CA",NaN,"Your very own Rylo camera on your first day!
Spanning software across the full stack: embedded systems, backend, frontend, iOS, Android, and desktop.",30+ days ago
103,"Software Engineer, Backend",Calm,"San Francisco, CA",4.2,"2-4 years of software engineering experience.
We pay your medical, dental, & vision insurance premiums.
Life insurance and disability benefits.",30+ days ago
104,Software Engineer Intern,Blend Labs,"San Francisco, CA 94103 (South of Market area)",NaN,"As a software engineering intern, you’ll work throughout the stack, from large-scale data processing to web UI.",26 days ago
105,"SDK Software Engineer, Web",Zoom,"San Francisco Bay Area, CA",3.6,"Plans, designs, develops and tests software systems or applications for software enhancements and new products including cloud-based or internet-related tools.",12 days ago
106,Software Engineer,Fivetran,"Oakland, CA",NaN,"Experienced working in a cloud environment and microservices architecture utilizing AWS, GCP, Postgres, Kubernetes, Docker, CircleCI, or similar technologies.",8 days ago
107,"Junior Software Engineer, Systems and Operations",Verkada,"San Mateo, CA 94401 (Central Business District area)",NaN,"Good communication skills - be able to effectively work with stakeholders and senior engineers on creating project specifications, designing systems, and…",30+ days ago
108,"Staff, Software Development Engineer",Charles Schwab Inc.,"San Francisco, CA 94105 (South Beach area)",4.0,Work alongside a team of seasoned engineers whose main objective is to maintain all aspects of the overall software development lifecycle and ensure the on-time…,3 days ago
109,Software Engineer,Capital One - US,"San Francisco, CA",3.9,"Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve…",8 days ago
110,Software Engineering Intern,Plato HQ,"San Francisco, CA",NaN,"As a team, define the development norms and methods for the team.",30+ days ago
111,Software Engineer - Backend,Hive,"San Francisco, CA (Haight-Ashbury area)",3.6,"We generate this data through Hive Data, our proprietary data labeling platform with over 1,000,000 globally distributed workers, generating millions of high…",30+ days ago
112,Front End Engineer (VueJS/Angular/HTML/SASS),ixlayer,"San Francisco, CA",NaN,"Proficient and quick with SASS or LESS or similar.
Build beautiful UI components and pages that will be used by thousands of people of all ages and help people…",30+ days ago
113,"Software Engineer, Test",Sensor Tower,"San Francisco, CA",NaN,"Provide data and analytics on our tests (e.g. coverage percentage, speed of tests).
Work closely with engineers, product managers, and technical leadership to…",30+ days ago
114,"Software Engineer — Front-End, Matcha",0x,"San Francisco, CA",NaN,"Alongside the core protocol, 0x Labs also builds and maintains a suite of network incentives, business resources, developer/trader tools (e.g., 0x API), and end…",30+ days ago
115,Software Engineer (Remote/Virtual),IronNet Cybersecurity,"San Francisco, CA",NaN,"Experience with Agile software development methodologies is beneficial.
Contribute to team problem-solving efforts and mentor other engineers.",30+ days ago
116,"Software Engineer, Server Development",Amobee,"Redwood City, CA",4.1,"0-3 years programming Java or similar object-oriented language (Entry to Mid Level Engineers).
3-5+ years programming Java or similar object-oriented language …",30+ days ago
117,Backend Software Engineer,Panther Labs,"San Francisco, CA",NaN,"Cross-functional collaboration to deliver the very best user experience.
As a Backend Software Engineer at Panther Labs, you will be part of a team designing…",30+ days ago
118,Software Engineer,KPBS Software Solutions,"Redwood City, CA",NaN,"Minimum of 4 live project roll outs.
BA/BS in CS or equivalent.
3+ years of projects experience.
Relocation assistance and VISA sponsorship provided to…",22 days ago
119,"Summer 2021 Intern - Software Engineer, MuleSoft",Salesforce,"San Francisco, CA 94105 (South Beach area)",4.3,"Understanding of object-oriented programming/design.
Work with your team members on timely and relevant projects that may be included in a future software…",26 days ago
120,Software Engineer - Developer Experience (Version Control Sy...,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"Build, operate and maintain source control systems that can meet the scalability and reliability needs of Twitter's monorepo.",30+ days ago
121,Software Engineer,OCTANT,"Emeryville, CA",NaN,"Are a student of systematic engineering discipline and practices managing code and software architecture.
Data science experience is a big plus.",17 days ago
122,Software Engineer - Product (Money Movement),Plaid,"San Francisco, CA",3.8,"Experience with full-stack development, including building server-side components (Python, Go, PHP, or Java).
5+ years of experience building web applications.",22 days ago
123,"Software Engineer, Full-Stack",Flockjay,"San Francisco, CA",4.9,"Design, test, and ship great code everyday.
3+ years of relevant software engineering experience, bonus points if at a high-growth startup.",30+ days ago
124,Software Engineer (Ecosystem),Anyscale,"San Francisco, CA",NaN,This position requires hands-on expertise in building machine learning pipelines along with a breadth of knowledge of the big data and machine learning…,16 days ago
125,Software Development Engineer - eero,Amazon.com Services LLC,"San Francisco, CA",3.6,Provide mentorship to other cloud engineers and help change development processes to increase developer productivity and project predictability.,3 days ago
126,Software Engineering Intern,Kiva.org,"San Francisco, CA",4.9,Learn modern software engineering processes and experience development cycles from conception to deployment into production.,25 days ago
127,Front End Engineer,Clockwise,"San Francisco, CA",2.3,"Commit and push code every day.
Experience working with multiple stakeholders and functions to ship great product.
Contribute to high-level strategic decisions.",30+ days ago
128,Software Engineer - Front End,The Yes,"San Francisco Bay Area, CA",NaN,"A passion for building great customer experiences using cutting edge technology.
Defining and building the next generation shopping experience.",30+ days ago
129,Software Engineer - Performance Tools,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"Building platforms and tools for other engineers.
Working on very large scale distributed systems.
Data analytics with SQL, BigQuery, Druid, Presto, and Tableau…",4 days ago
130,Software Engineer (Full-Stack),Finrise,"Burlingame, CA",NaN,"Extremely comfortable with client-side and server-side development.
You’re leaving the office thinking about the code you just pushed and arriving the next day…",30+ days ago
131,Front End Software Engineer,wepay,"Redwood City, CA (Downtown area)",4.3,Our products help software companies integrate payments into their applications – thereby empowering small businesses and individuals to get paid easily and…,30+ days ago
132,Frontend Engineer,OODA Health,"San Francisco, CA",NaN,"We offer all employees competitive, data-driven compensation, stock options and generous benefits.
Experience building software in a startup and/or the…",10 days ago
133,Software Engineer,Made Renovation,"San Francisco, CA",NaN,You will take ownership of key initiatives and make a significant impact on the business and the experience of home renovation.,30+ days ago
134,"Software Engineer, Android Framework",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Firmware and embedded software development experience.
Design great code within the constraints and opportunities of powerful embedded platforms.",8 days ago
135,"Software Engineer, Capital Business Financing",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Partner with colleagues across engineering, product, and design to build clean web and mobile experiences.
3+ years of software engineering experience.",3 days ago
136,"Software Engineer, Backend, 3+ Years Experience - San Franci...",Snapchat,"San Francisco, CA",3.5,"Machine learning and natural language processing.
Work across teams to understand product requirements, evaluate trade-offs, and deliver the solutions needed to…",16 days ago
137,Software Engineer — Front-End,0x,"San Francisco, CA",NaN,"Ability to write very high-quality, well-tested code.
Create trustworthy user experiences by creating features that are simple, intuitive, performant, and…",30+ days ago
138,"Software Engineer, Meta, Science",Chan Zuckerberg Initiative,"Redwood City, CA",4.8,"Experience with Amazon Web Services (AWS) or similar cloud providers.
Work as a full-stack engineer - designing, building, analyzing and improving the…",12 days ago
139,Software Engineer in Test,The Public Library of Science (PLoS),"San Francisco, CA",NaN,"Maintain and develop testing tools and frameworks for software in python, java, javascript.
Mastery of at least one of our preferred programming languages (java…",30+ days ago
140,Software Test Engineer*,Freedom Financial Network,"San Mateo, CA 94402 (Sunnybrae area)",3.6,"Minimum 3-5 years of Quality assurance experience in Web or Mobile.
9 paid holidays & 5 sick days.
Good knowledge of software quality assurance and defining…",3 days ago
141,Software Engineer (Infrastructure),Nova Credit,"San Francisco, CA 94103 (Yerba Buena area)",NaN,"Operate with a security-first mindset.
Multiply the impact of Nova Credit’s engineering teams.
Familiarity with Infrastructure as Code frameworks (Terraform,…",18 days ago
142,Sr. Backend Software Engineer,Span.IO,"San Francisco, CA",NaN,We're also opening up never before available levels of control of the energy in the home that need to be accessed in secure and easy to use APIs.,1 day ago
143,"Senior Software Engineer, Backend",Brightwheel,"San Francisco, CA",NaN,"Design and architect new software systems, or introduce new technologies, as appropriate to support brightwheel’s growth.",3 days ago
144,"Software Engineer, Platform Team",Benchling,"San Francisco, CA 94103 (South of Market area)",NaN,"Have 3-5 years of experience in software engineering.
Build software with a product-first approach.
Work closely with product managers, designers, marketing,…",30+ days ago
145,Software Engineer,Facebook,"Sausalito, CA",4.2,"Work side by side with researchers, and research software engineers to understand workflows, prioritize solutions, and create and improve systems the team…",30+ days ago
146,"Software Engineer, Intern/Co-op",Facebook,"Sausalito, CA",4.2,"1 or more years of experience with perl, java, php, python, or c++.
Code high-volume software using primarily C++ and Java.",30+ days ago
147,"Software Engineer, Money",SoFi,"San Francisco, CA 94105 (South Beach area)",3.2,"Collaborate with a team of like-minded engineers focused on building industry-leading software.
Bonus: Experience with public cloud infrastructure, preferably…",18 days ago
148,"Software Engineer, Full-Stack",Cresta,"San Francisco, CA (Russian Hill area)",4.2,"Strong competence in data structures, algorithms, and software design.
Experience with object oriented design, coding, running tests.",30+ days ago
